"","Phenotype","Population","Parent population","Filename","Center","Sample","Replicate","Cell count","Parent Cell count","Population #"
"52","CD4+CD8-","CD4+","CD3+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","26571","56054","6"
"53","CD4-CD8+","CD8+","CD3+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","26642","56054","7"
"54","CD4+CXCR3-CCR6-","CXCR3-CCR6-","CD4+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","22622","26571","8"
"55","CD4+CXCR3+CCR6-","CXCR3+CCR6-","CD4+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","2886","26571","9"
"56","CD4+CXCR3-CCR6+","CXCR3-CCR6+","CD4+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","848","26571","10"
"57","CD4+CXCR3+CCR6+","CXCR3+CCR6+","CD4+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","215","26571","11"
"58","CD8+CXCR3-CCR6-","CXCR3-CCR6-","CD8+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","21599","26642","12"
"59","CD8+CXCR3+CCR6-","CXCR3+CCR6-","CD8+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","3977","26642","13"
"60","CD8+CXCR3-CCR6+","CXCR3-CCR6+","CD8+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","857","26642","14"
"61","CD8+CXCR3+CCR6+","CXCR3+CCR6+","CD8+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","209","26642","15"
"62","CD4+CD38-DR-","38-DR-","CD4+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","13245","26571","16"
"63","CD4+CD38+DR-","38+DR-","CD4+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","11997","26571","17"
"64","CD4+CD38-DR+","38-DR+","CD4+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","948","26571","18"
"65","CD4+CD38+DR+","38+DR+","CD4+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","381","26571","19"
"66","CD8+CD38-DR-","38-DR-","CD8+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","24689","26642","20"
"67","CD8+CD38+DR-","38+DR-","CD8+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","1567","26642","21"
"68","CD8+CD38-DR+","38-DR+","CD8+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","264","26642","22"
"69","CD8+CD38+DR+","38+DR+","CD8+","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","122","26642","23"
"70","","All cells","","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","145887","","1"
"71","","Lymphocytes","All cells","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","66032","145887","2"
"72","","Singlets","Lymphocytes","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","63793","66032","3"
"73","","Live","Singlets","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","60603","63793","4"
"74","CD3+","CD3+","Live","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","46463","60603","5"
"75","CD4+CD8-","CD4+","CD3+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","23151","46463","6"
"76","CD4-CD8+","CD8+","CD3+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","18574","46463","7"
"77","CD4+CXCR3-CCR6-","CXCR3-CCR6-","CD4+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","21305","23151","8"
"78","CD4+CXCR3+CCR6-","CXCR3+CCR6-","CD4+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","919","23151","9"
"79","CD4+CXCR3-CCR6+","CXCR3-CCR6+","CD4+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","872","23151","10"
"80","CD4+CXCR3+CCR6+","CXCR3+CCR6+","CD4+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","54","23151","11"
"81","CD8+CXCR3-CCR6-","CXCR3-CCR6-","CD8+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","15956","18574","12"
"82","CD8+CXCR3+CCR6-","CXCR3+CCR6-","CD8+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","1875","18574","13"
"83","CD8+CXCR3-CCR6+","CXCR3-CCR6+","CD8+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","652","18574","14"
"84","CD8+CXCR3+CCR6+","CXCR3+CCR6+","CD8+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","91","18574","15"
"85","CD4+CD38-DR-","38-DR-","CD4+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","13392","23151","16"
"86","CD4+CD38+DR-","38+DR-","CD4+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","8601","23151","17"
"87","CD4+CD38-DR+","38-DR+","CD4+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","912","23151","18"
"88","CD4+CD38+DR+","38+DR+","CD4+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","246","23151","19"
"89","CD8+CD38-DR-","38-DR-","CD8+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","17562","18574","20"
"90","CD8+CD38+DR-","38+DR-","CD8+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","630","18574","21"
"91","CD8+CD38-DR+","38-DR+","CD8+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","265","18574","22"
"92","CD8+CD38+DR+","38+DR+","CD8+","TH1_TH2_TH17_1349_001_P1.fcs","CIMR","TH1_TH2_TH17_1349_001_P1","1","117","18574","23"
"93","","All cells","","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","144726","","1"
"94","","Lymphocytes","All cells","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","65639","144726","2"
"95","","Singlets","Lymphocytes","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","63311","65639","3"
"96","","Live","Singlets","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","60145","63311","4"
"97","CD3+","CD3+","Live","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","46140","60145","5"
"98","CD4+CD8-","CD4+","CD3+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","23001","46140","6"
"99","CD4-CD8+","CD8+","CD3+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","18364","46140","7"
"100","CD4+CXCR3-CCR6-","CXCR3-CCR6-","CD4+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","20748","23001","8"
"101","CD4+CXCR3+CCR6-","CXCR3+CCR6-","CD4+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","1332","23001","9"
"102","CD4+CXCR3-CCR6+","CXCR3-CCR6+","CD4+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","835","23001","10"
"103","CD4+CXCR3+CCR6+","CXCR3+CCR6+","CD4+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","85","23001","11"
"104","CD8+CXCR3-CCR6-","CXCR3-CCR6-","CD8+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","16022","18364","12"
"105","CD8+CXCR3+CCR6-","CXCR3+CCR6-","CD8+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","1607","18364","13"
"106","CD8+CXCR3-CCR6+","CXCR3-CCR6+","CD8+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","650","18364","14"
"107","CD8+CXCR3+CCR6+","CXCR3+CCR6+","CD8+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","85","18364","15"
"108","CD4+CD38-DR-","38-DR-","CD4+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","12889","23001","16"
"109","CD4+CD38+DR-","38+DR-","CD4+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","8961","23001","17"
"110","CD4+CD38-DR+","38-DR+","CD4+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","925","23001","18"
"111","CD4+CD38+DR+","38+DR+","CD4+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","225","23001","19"
"112","CD8+CD38-DR-","38-DR-","CD8+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","17394","18364","20"
"113","CD8+CD38+DR-","38+DR-","CD8+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","521","18364","21"
"114","CD8+CD38-DR+","38-DR+","CD8+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","335","18364","22"
"115","CD8+CD38+DR+","38+DR+","CD8+","TH1_TH2_TH17_1349_002_P1.fcs","CIMR","TH1_TH2_TH17_1349_002_P1","2","114","18364","23"
"116","","All cells","","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","145741","","1"
"117","","Lymphocytes","All cells","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","66190","145741","2"
"118","","Singlets","Lymphocytes","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","63878","66190","3"
"119","","Live","Singlets","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","60684","63878","4"
"120","CD3+","CD3+","Live","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","46534","60684","5"
"121","CD4+CD8-","CD4+","CD3+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","23328","46534","6"
"122","CD4-CD8+","CD8+","CD3+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","18498","46534","7"
"123","CD4+CXCR3-CCR6-","CXCR3-CCR6-","CD4+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","20986","23328","8"
"124","CD4+CXCR3+CCR6-","CXCR3+CCR6-","CD4+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","1408","23328","9"
"125","CD4+CXCR3-CCR6+","CXCR3-CCR6+","CD4+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","840","23328","10"
"126","CD4+CXCR3+CCR6+","CXCR3+CCR6+","CD4+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","94","23328","11"
"127","CD8+CXCR3-CCR6-","CXCR3-CCR6-","CD8+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","9687","18498","12"
"128","CD8+CXCR3+CCR6-","CXCR3+CCR6-","CD8+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","8071","18498","13"
"129","CD8+CXCR3-CCR6+","CXCR3-CCR6+","CD8+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","427","18498","14"
"130","CD8+CXCR3+CCR6+","CXCR3+CCR6+","CD8+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","313","18498","15"
"131","CD4+CD38-DR-","38-DR-","CD4+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","12978","23328","16"
"132","CD4+CD38+DR-","38+DR-","CD4+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","9183","23328","17"
"133","CD4+CD38-DR+","38-DR+","CD4+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","912","23328","18"
"134","CD4+CD38+DR+","38+DR+","CD4+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","255","23328","19"
"135","CD8+CD38-DR-","38-DR-","CD8+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","17467","18498","20"
"136","CD8+CD38+DR-","38+DR-","CD8+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","648","18498","21"
"137","CD8+CD38-DR+","38-DR+","CD8+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","252","18498","22"
"138","CD8+CD38+DR+","38+DR+","CD8+","TH1_TH2_TH17_1349_P1.fcs","CIMR","TH1_TH2_TH17_1349_P1","3","131","18498","23"
"139","","All cells","","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","157523","","1"
"140","","Lymphocytes","All cells","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","80409","157523","2"
"141","","Singlets","Lymphocytes","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","77690","80409","3"
"142","","Live","Singlets","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","75238","77690","4"
"143","CD3+","CD3+","Live","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","50853","75238","5"
"144","CD4+CD8-","CD4+","CD3+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","33213","50853","6"
"145","CD4-CD8+","CD8+","CD3+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","11040","50853","7"
"146","CD4+CXCR3-CCR6-","CXCR3-CCR6-","CD4+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","29953","33213","8"
"147","CD4+CXCR3+CCR6-","CXCR3+CCR6-","CD4+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","1931","33213","9"
"148","CD4+CXCR3-CCR6+","CXCR3-CCR6+","CD4+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","1177","33213","10"
"149","CD4+CXCR3+CCR6+","CXCR3+CCR6+","CD4+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","152","33213","11"
"150","CD8+CXCR3-CCR6-","CXCR3-CCR6-","CD8+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","9295","11040","12"
"151","CD8+CXCR3+CCR6-","CXCR3+CCR6-","CD8+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","1303","11040","13"
"152","CD8+CXCR3-CCR6+","CXCR3-CCR6+","CD8+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","366","11040","14"
"153","CD8+CXCR3+CCR6+","CXCR3+CCR6+","CD8+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","76","11040","15"
"154","CD4+CD38-DR-","38-DR-","CD4+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","16119","33213","16"
"155","CD4+CD38+DR-","38+DR-","CD4+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","15433","33213","17"
"156","CD4+CD38-DR+","38-DR+","CD4+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","893","33213","18"
"157","CD4+CD38+DR+","38+DR+","CD4+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","768","33213","19"
"158","CD8+CD38-DR-","38-DR-","CD8+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","10120","11040","20"
"159","CD8+CD38+DR-","38+DR-","CD8+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","789","11040","21"
"160","CD8+CD38-DR+","38-DR+","CD8+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","55","11040","22"
"161","CD8+CD38+DR+","38+DR+","CD8+","TH1_TH2_TH17_1369_001_P1.fcs","CIMR","TH1_TH2_TH17_1369_001_P1","1","76","11040","23"
"162","","All cells","","TH1_TH2_TH17_1369_002_P1.fcs","CIMR","TH1_TH2_TH17_1369_002_P1","2","154888","","1"
"163","","Lymphocytes","All cells","TH1_TH2_TH17_1369_002_P1.fcs","CIMR","TH1_TH2_TH17_1369_002_P1","2","79145","154888","2"
"164","","Singlets","Lymphocytes","TH1_TH2_TH17_1369_002_P1.fcs","CIMR","TH1_TH2_TH17_1369_002_P1","2","76416","79145","3"
