"","Phenotype","Population","Parent population","Filename","Center","Sample","Replicate","Cell count","Parent Cell count","Population #"
"98","CD4+CD8-","CD4+","CD3+","1349_002_P1.fcs","CIMR","1349_002_P1","2","25202","50857","6"
"99","CD4-CD8+","CD8+","CD3+","1349_002_P1.fcs","CIMR","1349_002_P1","2","20259","50857","7"
"100","CD4+CCR7-CD45RA-","CCR7-CD45RA-","CD4+","1349_002_P1.fcs","CIMR","1349_002_P1","2","7081","25202","8"
"101","CD4+CCR7+CD45RA-","CCR7+CD45RA-","CD4+","1349_002_P1.fcs","CIMR","1349_002_P1","2","7857","25202","9"
"102","CD4+CCR7-CD45RA+","CCR7-CD45RA+","CD4+","1349_002_P1.fcs","CIMR","1349_002_P1","2","1008","25202","10"
"103","CD4+CCR7+CD45RA+","CCR7+CD45RA+","CD4+","1349_002_P1.fcs","CIMR","1349_002_P1","2","9254","25202","11"
"104","CD8+CCR7-CD45RA-","CCR7-CD45RA-","CD8+","1349_002_P1.fcs","CIMR","1349_002_P1","2","4587","20259","12"
"105","CD8+CCR7+CD45RA-","CCR7+CD45RA-","CD8+","1349_002_P1.fcs","CIMR","1349_002_P1","2","422","20259","13"
"106","CD8+CCR7-CD45RA+","CCR7-CD45RA+","CD8+","1349_002_P1.fcs","CIMR","1349_002_P1","2","5805","20259","14"
"107","CD8+CCR7+CD45RA+","CCR7+CD45RA+","CD8+","1349_002_P1.fcs","CIMR","1349_002_P1","2","9445","20259","15"
"108","CD4+CD38-DR-","38-DR-","CD4+","1349_002_P1.fcs","CIMR","1349_002_P1","2","13678","25202","16"
"109","CD4+CD38+DR-","38+DR-","CD4+","1349_002_P1.fcs","CIMR","1349_002_P1","2","9442","25202","17"
"110","CD4+CD38-DR+","38-DR+","CD4+","1349_002_P1.fcs","CIMR","1349_002_P1","2","1623","25202","18"
"111","CD4+CD38+DR+","38+DR+","CD4+","1349_002_P1.fcs","CIMR","1349_002_P1","2","459","25202","19"
"112","CD8+CD38-DR-","38-DR-","CD8+","1349_002_P1.fcs","CIMR","1349_002_P1","2","17538","20259","20"
"113","CD8+CD38+DR-","38+DR-","CD8+","1349_002_P1.fcs","CIMR","1349_002_P1","2","1708","20259","21"
"114","CD8+CD38-DR+","38-DR+","CD8+","1349_002_P1.fcs","CIMR","1349_002_P1","2","695","20259","22"
"115","CD8+CD38+DR+","38+DR+","CD8+","1349_002_P1.fcs","CIMR","1349_002_P1","2","318","20259","23"
"116","","All cells","","1349_P1.fcs","CIMR","1349_P1","3","156616","","1"
"117","","Lymphocytes","All cells","1349_P1.fcs","CIMR","1349_P1","3","71100","156616","2"
"118","","Singlets","Lymphocytes","1349_P1.fcs","CIMR","1349_P1","3","No FSC-H/W channel","71100","3"
"119","","Live","Singlets","1349_P1.fcs","CIMR","1349_P1","3","67545","71100","4"
"120","CD3+","CD3+","Live","1349_P1.fcs","CIMR","1349_P1","3","51480","67545","5"
"121","CD4+CD8-","CD4+","CD3+","1349_P1.fcs","CIMR","1349_P1","3","25392","51480","6"
"122","CD4-CD8+","CD8+","CD3+","1349_P1.fcs","CIMR","1349_P1","3","20609","51480","7"
"123","CD4+CCR7-CD45RA-","CCR7-CD45RA-","CD4+","1349_P1.fcs","CIMR","1349_P1","3","7292","25392","8"
"124","CD4+CCR7+CD45RA-","CCR7+CD45RA-","CD4+","1349_P1.fcs","CIMR","1349_P1","3","8137","25392","9"
"125","CD4+CCR7-CD45RA+","CCR7-CD45RA+","CD4+","1349_P1.fcs","CIMR","1349_P1","3","934","25392","10"
"126","CD4+CCR7+CD45RA+","CCR7+CD45RA+","CD4+","1349_P1.fcs","CIMR","1349_P1","3","9029","25392","11"
"127","CD8+CCR7-CD45RA-","CCR7-CD45RA-","CD8+","1349_P1.fcs","CIMR","1349_P1","3","4139","20609","12"
"128","CD8+CCR7+CD45RA-","CCR7+CD45RA-","CD8+","1349_P1.fcs","CIMR","1349_P1","3","675","20609","13"
"129","CD8+CCR7-CD45RA+","CCR7-CD45RA+","CD8+","1349_P1.fcs","CIMR","1349_P1","3","6004","20609","14"
"130","CD8+CCR7+CD45RA+","CCR7+CD45RA+","CD8+","1349_P1.fcs","CIMR","1349_P1","3","9791","20609","15"
"131","CD4+CD38-DR-","38-DR-","CD4+","1349_P1.fcs","CIMR","1349_P1","3","13592","25392","16"
"132","CD4+CD38+DR-","38+DR-","CD4+","1349_P1.fcs","CIMR","1349_P1","3","9785","25392","17"
"133","CD4+CD38-DR+","38-DR+","CD4+","1349_P1.fcs","CIMR","1349_P1","3","1556","25392","18"
"134","CD4+CD38+DR+","38+DR+","CD4+","1349_P1.fcs","CIMR","1349_P1","3","459","25392","19"
"135","CD8+CD38-DR-","38-DR-","CD8+","1349_P1.fcs","CIMR","1349_P1","3","17813","20609","20"
"136","CD8+CD38+DR-","38+DR-","CD8+","1349_P1.fcs","CIMR","1349_P1","3","1765","20609","21"
"137","CD8+CD38-DR+","38-DR+","CD8+","1349_P1.fcs","CIMR","1349_P1","3","735","20609","22"
"138","CD8+CD38+DR+","38+DR+","CD8+","1349_P1.fcs","CIMR","1349_P1","3","296","20609","23"
"139","","All cells","","1369_001_P1.fcs","CIMR","1369_001_P1","1","152642","","1"
"140","","Lymphocytes","All cells","1369_001_P1.fcs","CIMR","1369_001_P1","1","81617","152642","2"
"141","","Singlets","Lymphocytes","1369_001_P1.fcs","CIMR","1369_001_P1","1","No FSC-H/W channel","81617","3"
"142","","Live","Singlets","1369_001_P1.fcs","CIMR","1369_001_P1","1","79284","81617","4"
"143","CD3+","CD3+","Live","1369_001_P1.fcs","CIMR","1369_001_P1","1","53055","79284","5"
"144","CD4+CD8-","CD4+","CD3+","1369_001_P1.fcs","CIMR","1369_001_P1","1","34365","53055","6"
"145","CD4-CD8+","CD8+","CD3+","1369_001_P1.fcs","CIMR","1369_001_P1","1","11702","53055","7"
"146","CD4+CCR7-CD45RA-","CCR7-CD45RA-","CD4+","1369_001_P1.fcs","CIMR","1369_001_P1","1","5808","34365","8"
"147","CD4+CCR7+CD45RA-","CCR7+CD45RA-","CD4+","1369_001_P1.fcs","CIMR","1369_001_P1","1","12756","34365","9"
"148","CD4+CCR7-CD45RA+","CCR7-CD45RA+","CD4+","1369_001_P1.fcs","CIMR","1369_001_P1","1","202","34365","10"
"149","CD4+CCR7+CD45RA+","CCR7+CD45RA+","CD4+","1369_001_P1.fcs","CIMR","1369_001_P1","1","15599","34365","11"
"150","CD8+CCR7-CD45RA-","CCR7-CD45RA-","CD8+","1369_001_P1.fcs","CIMR","1369_001_P1","1","5543","11702","12"
"151","CD8+CCR7+CD45RA-","CCR7+CD45RA-","CD8+","1369_001_P1.fcs","CIMR","1369_001_P1","1","816","11702","13"
"152","CD8+CCR7-CD45RA+","CCR7-CD45RA+","CD8+","1369_001_P1.fcs","CIMR","1369_001_P1","1","1069","11702","14"
"153","CD8+CCR7+CD45RA+","CCR7+CD45RA+","CD8+","1369_001_P1.fcs","CIMR","1369_001_P1","1","4274","11702","15"
"154","CD4+CD38-DR-","38-DR-","CD4+","1369_001_P1.fcs","CIMR","1369_001_P1","1","16801","34365","16"
"155","CD4+CD38+DR-","38+DR-","CD4+","1369_001_P1.fcs","CIMR","1369_001_P1","1","15889","34365","17"
"156","CD4+CD38-DR+","38-DR+","CD4+","1369_001_P1.fcs","CIMR","1369_001_P1","1","907","34365","18"
"157","CD4+CD38+DR+","38+DR+","CD4+","1369_001_P1.fcs","CIMR","1369_001_P1","1","768","34365","19"
"158","CD8+CD38-DR-","38-DR-","CD8+","1369_001_P1.fcs","CIMR","1369_001_P1","1","10151","11702","20"
"159","CD8+CD38+DR-","38+DR-","CD8+","1369_001_P1.fcs","CIMR","1369_001_P1","1","965","11702","21"
"160","CD8+CD38-DR+","38-DR+","CD8+","1369_001_P1.fcs","CIMR","1369_001_P1","1","380","11702","22"
"161","CD8+CD38+DR+","38+DR+","CD8+","1369_001_P1.fcs","CIMR","1369_001_P1","1","206","11702","23"
"162","","All cells","","1369_002_P1.fcs","CIMR","1369_002_P1","2","144913","","1"
"163","","Lymphocytes","All cells","1369_002_P1.fcs","CIMR","1369_002_P1","2","79184","144913","2"
"164","","Singlets","Lymphocytes","1369_002_P1.fcs","CIMR","1369_002_P1","2","No FSC-H/W channel","79184","3"
"165","","Live","Singlets","1369_002_P1.fcs","CIMR","1369_002_P1","2","77122","79184","4"
"166","CD3+","CD3+","Live","1369_002_P1.fcs","CIMR","1369_002_P1","2","52060","77122","5"
"167","CD4+CD8-","CD4+","CD3+","1369_002_P1.fcs","CIMR","1369_002_P1","2","33854","52060","6"
"168","CD4-CD8+","CD8+","CD3+","1369_002_P1.fcs","CIMR","1369_002_P1","2","11237","52060","7"
"169","CD4+CCR7-CD45RA-","CCR7-CD45RA-","CD4+","1369_002_P1.fcs","CIMR","1369_002_P1","2","4441","33854","8"
"170","CD4+CCR7+CD45RA-","CCR7+CD45RA-","CD4+","1369_002_P1.fcs","CIMR","1369_002_P1","2","13895","33854","9"
"171","CD4+CCR7-CD45RA+","CCR7-CD45RA+","CD4+","1369_002_P1.fcs","CIMR","1369_002_P1","2","127","33854","10"
"172","CD4+CCR7+CD45RA+","CCR7+CD45RA+","CD4+","1369_002_P1.fcs","CIMR","1369_002_P1","2","15391","33854","11"
"173","CD8+CCR7-CD45RA-","CCR7-CD45RA-","CD8+","1369_002_P1.fcs","CIMR","1369_002_P1","2","5610","11237","12"
"174","CD8+CCR7+CD45RA-","CCR7+CD45RA-","CD8+","1369_002_P1.fcs","CIMR","1369_002_P1","2","681","11237","13"
"175","CD8+CCR7-CD45RA+","CCR7-CD45RA+","CD8+","1369_002_P1.fcs","CIMR","1369_002_P1","2","931","11237","14"
"176","CD8+CCR7+CD45RA+","CCR7+CD45RA+","CD8+","1369_002_P1.fcs","CIMR","1369_002_P1","2","4015","11237","15"
"177","CD4+CD38-DR-","38-DR-","CD4+","1369_002_P1.fcs","CIMR","1369_002_P1","2","16015","33854","16"
"178","CD4+CD38+DR-","38+DR-","CD4+","1369_002_P1.fcs","CIMR","1369_002_P1","2","15995","33854","17"
"179","CD4+CD38-DR+","38-DR+","CD4+","1369_002_P1.fcs","CIMR","1369_002_P1","2","955","33854","18"
"180","CD4+CD38+DR+","38+DR+","CD4+","1369_002_P1.fcs","CIMR","1369_002_P1","2","889","33854","19"
"181","CD8+CD38-DR-","38-DR-","CD8+","1369_002_P1.fcs","CIMR","1369_002_P1","2","9710","11237","20"
"182","CD8+CD38+DR-","38+DR-","CD8+","1369_002_P1.fcs","CIMR","1369_002_P1","2","965","11237","21"
"183","CD8+CD38-DR+","38-DR+","CD8+","1369_002_P1.fcs","CIMR","1369_002_P1","2","403","11237","22"
"184","CD8+CD38+DR+","38+DR+","CD8+","1369_002_P1.fcs","CIMR","1369_002_P1","2","159","11237","23"
"185","","All cells","","1369_P1.fcs","CIMR","1369_P1","3","149586","","1"
"186","","Lymphocytes","All cells","1369_P1.fcs","CIMR","1369_P1","3","79554","149586","2"
"187","","Singlets","Lymphocytes","1369_P1.fcs","CIMR","1369_P1","3","No FSC-H/W channel","79554","3"
"188","","Live","Singlets","1369_P1.fcs","CIMR","1369_P1","3","77094","79554","4"
"189","CD3+","CD3+","Live","1369_P1.fcs","CIMR","1369_P1","3","52050","77094","5"
"190","CD4+CD8-","CD4+","CD3+","1369_P1.fcs","CIMR","1369_P1","3","33638","52050","6"
"191","CD4-CD8+","CD8+","CD3+","1369_P1.fcs","CIMR","1369_P1","3","11445","52050","7"
"192","CD4+CCR7-CD45RA-","CCR7-CD45RA-","CD4+","1369_P1.fcs","CIMR","1369_P1","3","5347","33638","8"
"193","CD4+CCR7+CD45RA-","CCR7+CD45RA-","CD4+","1369_P1.fcs","CIMR","1369_P1","3","12835","33638","9"
"194","CD4+CCR7-CD45RA+","CCR7-CD45RA+","CD4+","1369_P1.fcs","CIMR","1369_P1","3","192","33638","10"
"195","CD4+CCR7+CD45RA+","CCR7+CD45RA+","CD4+","1369_P1.fcs","CIMR","1369_P1","3","15264","33638","11"
"196","CD8+CCR7-CD45RA-","CCR7-CD45RA-","CD8+","1369_P1.fcs","CIMR","1369_P1","3","5394","11445","12"
"197","CD8+CCR7+CD45RA-","CCR7+CD45RA-","CD8+","1369_P1.fcs","CIMR","1369_P1","3","854","11445","13"
"198","CD8+CCR7-CD45RA+","CCR7-CD45RA+","CD8+","1369_P1.fcs","CIMR","1369_P1","3","927","11445","14"
"199","CD8+CCR7+CD45RA+","CCR7+CD45RA+","CD8+","1369_P1.fcs","CIMR","1369_P1","3","4270","11445","15"
"200","CD4+CD38-DR-","38-DR-","CD4+","1369_P1.fcs","CIMR","1369_P1","3","15942","33638","16"
"201","CD4+CD38+DR-","38+DR-","CD4+","1369_P1.fcs","CIMR","1369_P1","3","15790","33638","17"
"202","CD4+CD38-DR+","38-DR+","CD4+","1369_P1.fcs","CIMR","1369_P1","3","1054","33638","18"
"203","CD4+CD38+DR+","38+DR+","CD4+","1369_P1.fcs","CIMR","1369_P1","3","852","33638","19"
"204","CD8+CD38-DR-","38-DR-","CD8+","1369_P1.fcs","CIMR","1369_P1","3","9899","11445","20"
"205","CD8+CD38+DR-","38+DR-","CD8+","1369_P1.fcs","CIMR","1369_P1","3","973","11445","21"
"206","CD8+CD38-DR+","38-DR+","CD8+","1369_P1.fcs","CIMR","1369_P1","3","401","11445","22"
"207","CD8+CD38+DR+","38+DR+","CD8+","1369_P1.fcs","CIMR","1369_P1","3","172","11445","23"
"208","","All cells","","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","89645","","1"
"209","","Lymphocytes","All cells","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","25142","89645","2"
"210","","Singlets","Lymphocytes","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","24516","25142","3"
"211","","Live","Singlets","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","23473","24516","4"
"212","CD3+","CD3+","Live","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","12471","23473","5"
"213","CD4+CD8-","CD4+","CD3+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","6087","12471","6"
"214","CD4-CD8+","CD8+","CD3+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","5177","12471","7"
"215","CD4+CCR7-CD45RA-","CCR7-CD45RA-","CD4+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","1481","6087","8"
"216","CD4+CCR7+CD45RA-","CCR7+CD45RA-","CD4+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","2158","6087","9"
"217","CD4+CCR7-CD45RA+","CCR7-CD45RA+","CD4+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","55","6087","10"
"218","CD4+CCR7+CD45RA+","CCR7+CD45RA+","CD4+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","2393","6087","11"
"219","CD8+CCR7-CD45RA-","CCR7-CD45RA-","CD8+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","1337","5177","12"
"220","CD8+CCR7+CD45RA-","CCR7+CD45RA-","CD8+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","68","5177","13"
"221","CD8+CCR7-CD45RA+","CCR7-CD45RA+","CD8+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","2047","5177","14"
"222","CD8+CCR7+CD45RA+","CCR7+CD45RA+","CD8+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","1725","5177","15"
"223","CD4+CD38-DR-","38-DR-","CD4+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","2986","6087","16"
"224","CD4+CD38+DR-","38+DR-","CD4+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","2492","6087","17"
"225","CD4+CD38-DR+","38-DR+","CD4+","12828_1_T CELL.fcs","Baylor","12828_1_T CELL","1","389","6087","18"
