Population Phenotype Filename Center Sample Replicate 'Cell Count' 'Parent Population' 'Parent Count' 'Proportion of Parent'
Monocytes CD3-CD19-CD20-CD14+ 1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 40678 'Live Cells' 240189 0.1694
CD14+CD16+ CD3-CD19-CD20-CD14+CD16+ 1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 223 Monocytes 40678 0.0055
CD16-CD56- CD3-CD19-CD20-CD14-CD16-CD56- 1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 18903 CD14-Lineage- 37908 0.4987
CD16+CD56- CD3-CD19-CD20-CD14-CD16+CD56- 1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 1472 CD14-Lineage- 37908 0.0388
CD16+CD56+ CD3-CD19-CD20-CD14-CD16+CD56+ 1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 3023 CD14-Lineage- 37908 0.0797
CD16-CD56+ CD3-CD19-CD20-CD14-CD16-CD56+ 1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 14510 CD14-Lineage- 37908 0.3828
HLADR+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+ 1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 7089 CD16-CD56- 18903 0.375
CD11c-CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123- 1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 380 HLADR+ 7089 0.0536
CD11c+CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123- 1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 5738 HLADR+ 7089 0.8094
CD11c+CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123+ 1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 118 HLADR+ 7089 0.0166
CD11c-CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123+ 1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 853 HLADR+ 7089 0.1203
'All cells'  1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 426807 none 426807 1
'Lympho and Mono'  1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 227748 'All cells' 426807 0.5336
'Live Cells'  1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 208653 'Lympho and Mono' 227748 0.9162
CD14-Lineage- CD3-CD19-CD20-CD14- 1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 33247 'Live Cells' 208653 0.1593
Monocytes CD3-CD19-CD20-CD14+ 1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 30628 'Live Cells' 208653 0.1468
CD14+CD16+ CD3-CD19-CD20-CD14+CD16+ 1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 203 Monocytes 30628 0.0066
CD16-CD56- CD3-CD19-CD20-CD14-CD16-CD56- 1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 16328 CD14-Lineage- 33247 0.4911
CD16+CD56- CD3-CD19-CD20-CD14-CD16+CD56- 1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 1316 CD14-Lineage- 33247 0.0396
CD16+CD56+ CD3-CD19-CD20-CD14-CD16+CD56+ 1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 3331 CD14-Lineage- 33247 0.1002
CD16-CD56+ CD3-CD19-CD20-CD14-CD16-CD56+ 1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 12272 CD14-Lineage- 33247 0.3691
HLADR+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+ 1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 5701 CD16-CD56- 16328 0.3492
CD11c-CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123- 1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 350 HLADR+ 5701 0.0614
CD11c+CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123- 1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 4560 HLADR+ 5701 0.7999
CD11c+CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123+ 1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 94 HLADR+ 5701 0.0165
CD11c-CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123+ 1349_2_DC,2f,MONO,2f,NK.fcs Baylor 1349 2 697 HLADR+ 5701 0.1223
'All cells'  1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 432271 none 432271 1
'Lympho and Mono'  1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 225980 'All cells' 432271 0.5228
'Live Cells'  1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 207435 'Lympho and Mono' 225980 0.9179
CD14-Lineage- CD3-CD19-CD20-CD14- 1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 34306 'Live Cells' 207435 0.1654
Monocytes CD3-CD19-CD20-CD14+ 1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 31129 'Live Cells' 207435 0.1501
CD14+CD16+ CD3-CD19-CD20-CD14+CD16+ 1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 271 Monocytes 31129 0.0087
CD16-CD56- CD3-CD19-CD20-CD14-CD16-CD56- 1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 17090 CD14-Lineage- 34306 0.4982
CD16+CD56- CD3-CD19-CD20-CD14-CD16+CD56- 1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 1374 CD14-Lineage- 34306 0.0401
CD16+CD56+ CD3-CD19-CD20-CD14-CD16+CD56+ 1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 3248 CD14-Lineage- 34306 0.0947
CD16-CD56+ CD3-CD19-CD20-CD14-CD16-CD56+ 1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 12594 CD14-Lineage- 34306 0.3671
HLADR+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+ 1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 5677 CD16-CD56- 17090 0.3322
CD11c-CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123- 1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 371 HLADR+ 5677 0.0654
CD11c+CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123- 1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 4501 HLADR+ 5677 0.7928
CD11c+CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123+ 1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 92 HLADR+ 5677 0.0162
CD11c-CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123+ 1349_3_DC,2f,MONO,2f,NK.fcs Baylor 1349 3 713 HLADR+ 5677 0.1256
'All cells'  1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 234450 none 234450 1
'Lympho and Mono'  1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 191575 'All cells' 234450 0.8171
'Live Cells'  1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 175895 'Lympho and Mono' 191575 0.9182
CD14-Lineage- CD3-CD19-CD20-CD14- 1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 19143 'Live Cells' 175895 0.1088
Monocytes CD3-CD19-CD20-CD14+ 1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 24526 'Live Cells' 175895 0.1394
CD14+CD16+ CD3-CD19-CD20-CD14+CD16+ 1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 169 Monocytes 24526 0.0069
CD16-CD56- CD3-CD19-CD20-CD14-CD16-CD56- 1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 7696 CD14-Lineage- 19143 0.402
CD16+CD56- CD3-CD19-CD20-CD14-CD16+CD56- 1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 4208 CD14-Lineage- 19143 0.2198
CD16+CD56+ CD3-CD19-CD20-CD14-CD16+CD56+ 1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 4545 CD14-Lineage- 19143 0.2374
CD16-CD56+ CD3-CD19-CD20-CD14-CD16-CD56+ 1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 2694 CD14-Lineage- 19143 0.1407
HLADR+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+ 1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 3768 CD16-CD56- 7696 0.4896
CD11c-CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123- 1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 209 HLADR+ 3768 0.0555
CD11c+CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123- 1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 2935 HLADR+ 3768 0.7789
CD11c+CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123+ 1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 24 HLADR+ 3768 0.0064
CD11c-CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123+ 1369_1_DC,2f,MONO,2f,NK.fcs Baylor 1369 1 600 HLADR+ 3768 0.1592
'All cells'  1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 91339 none 91339 1
'Lympho and Mono'  1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 63196 'All cells' 91339 0.6919
'Live Cells'  1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 58863 'Lympho and Mono' 63196 0.9314
CD14-Lineage- CD3-CD19-CD20-CD14- 1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 6953 'Live Cells' 58863 0.1181
Monocytes CD3-CD19-CD20-CD14+ 1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 7329 'Live Cells' 58863 0.1245
CD14+CD16+ CD3-CD19-CD20-CD14+CD16+ 1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 37 Monocytes 7329 0.005
CD16-CD56- CD3-CD19-CD20-CD14-CD16-CD56- 1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 3226 CD14-Lineage- 6953 0.464
CD16+CD56- CD3-CD19-CD20-CD14-CD16+CD56- 1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 1639 CD14-Lineage- 6953 0.2357
CD16+CD56+ CD3-CD19-CD20-CD14-CD16+CD56+ 1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 1158 CD14-Lineage- 6953 0.1665
CD16-CD56+ CD3-CD19-CD20-CD14-CD16-CD56+ 1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 930 CD14-Lineage- 6953 0.1338
HLADR+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+ 1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 1415 CD16-CD56- 3226 0.4386
CD11c-CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123- 1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 58 HLADR+ 1415 0.041
CD11c+CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123- 1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 1186 HLADR+ 1415 0.8382
CD11c+CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123+ 1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 6 HLADR+ 1415 0.0042
CD11c-CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123+ 1369_2_DC,2f,MONO,2f,NK.fcs Baylor 1369 2 165 HLADR+ 1415 0.1166
'All cells'  1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 209769 none 209769 1
'Lympho and Mono'  1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 169194 'All cells' 209769 0.8066
'Live Cells'  1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 155998 'Lympho and Mono' 169194 0.922
CD14-Lineage- CD3-CD19-CD20-CD14- 1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 19262 'Live Cells' 155998 0.1235
Monocytes CD3-CD19-CD20-CD14+ 1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 21447 'Live Cells' 155998 0.1375
CD14+CD16+ CD3-CD19-CD20-CD14+CD16+ 1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 108 Monocytes 21447 0.005
CD16-CD56- CD3-CD19-CD20-CD14-CD16-CD56- 1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 8934 CD14-Lineage- 19262 0.4638
CD16+CD56- CD3-CD19-CD20-CD14-CD16+CD56- 1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 3768 CD14-Lineage- 19262 0.1956
CD16+CD56+ CD3-CD19-CD20-CD14-CD16+CD56+ 1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 3555 CD14-Lineage- 19262 0.1846
CD16-CD56+ CD3-CD19-CD20-CD14-CD16-CD56+ 1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 3005 CD14-Lineage- 19262 0.156
HLADR+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+ 1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 4016 CD16-CD56- 8934 0.4495
CD11c-CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123- 1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 221 HLADR+ 4016 0.055
CD11c+CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123- 1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 3174 HLADR+ 4016 0.7903
CD11c+CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123+ 1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 18 HLADR+ 4016 0.0045
CD11c-CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123+ 1369_3_DC,2f,MONO,2f,NK.fcs Baylor 1369 3 603 HLADR+ 4016 0.1501
'All cells'  DC_MONO_NK_12828001_001.fcs CIMR 12828 2 77737 none 77737 1
'Lympho and Mono'  DC_MONO_NK_12828001_001.fcs CIMR 12828 2 60387 'All cells' 77737 0.7768
'Live Cells'  DC_MONO_NK_12828001_001.fcs CIMR 12828 2 56258 'Lympho and Mono' 60387 0.9316
CD14-Lineage- CD3-CD19-CD20-CD14- DC_MONO_NK_12828001_001.fcs CIMR 12828 2 8906 'Live Cells' 56258 0.1583
Monocytes CD3-CD19-CD20-CD14+ DC_MONO_NK_12828001_001.fcs CIMR 12828 2 14353 'Live Cells' 56258 0.2551
CD14+CD16+ CD3-CD19-CD20-CD14+CD16+ DC_MONO_NK_12828001_001.fcs CIMR 12828 2 215 Monocytes 14353 0.015
CD16-CD56- CD3-CD19-CD20-CD14-CD16-CD56- DC_MONO_NK_12828001_001.fcs CIMR 12828 2 2333 CD14-Lineage- 8906 0.262
CD16+CD56- CD3-CD19-CD20-CD14-CD16+CD56- DC_MONO_NK_12828001_001.fcs CIMR 12828 2 686 CD14-Lineage- 8906 0.077
CD16+CD56+ CD3-CD19-CD20-CD14-CD16+CD56+ DC_MONO_NK_12828001_001.fcs CIMR 12828 2 3921 CD14-Lineage- 8906 0.4403
CD16-CD56+ CD3-CD19-CD20-CD14-CD16-CD56+ DC_MONO_NK_12828001_001.fcs CIMR 12828 2 1966 CD14-Lineage- 8906 0.2208
HLADR+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+ DC_MONO_NK_12828001_001.fcs CIMR 12828 2 528 CD16-CD56- 2333 0.2263
CD11c-CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123- DC_MONO_NK_12828001_001.fcs CIMR 12828 2 92 HLADR+ 528 0.1742
CD11c+CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123- DC_MONO_NK_12828001_001.fcs CIMR 12828 2 317 HLADR+ 528 0.6004
CD11c+CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123+ DC_MONO_NK_12828001_001.fcs CIMR 12828 2 7 HLADR+ 528 0.0133
CD11c-CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123+ DC_MONO_NK_12828001_001.fcs CIMR 12828 2 112 HLADR+ 528 0.2121
'All cells'  DC_MONO_NK_12828001_002.fcs CIMR 12828 3 78164 none 78164 1
'Lympho and Mono'  DC_MONO_NK_12828001_002.fcs CIMR 12828 3 60502 'All cells' 78164 0.774
'Live Cells'  DC_MONO_NK_12828001_002.fcs CIMR 12828 3 56357 'Lympho and Mono' 60502 0.9315
CD14-Lineage- CD3-CD19-CD20-CD14- DC_MONO_NK_12828001_002.fcs CIMR 12828 3 8839 'Live Cells' 56357 0.1568
Monocytes CD3-CD19-CD20-CD14+ DC_MONO_NK_12828001_002.fcs CIMR 12828 3 14254 'Live Cells' 56357 0.2529
CD14+CD16+ CD3-CD19-CD20-CD14+CD16+ DC_MONO_NK_12828001_002.fcs CIMR 12828 3 194 Monocytes 14254 0.0136
CD16-CD56- CD3-CD19-CD20-CD14-CD16-CD56- DC_MONO_NK_12828001_002.fcs CIMR 12828 3 2226 CD14-Lineage- 8839 0.2518
CD16+CD56- CD3-CD19-CD20-CD14-CD16+CD56- DC_MONO_NK_12828001_002.fcs CIMR 12828 3 714 CD14-Lineage- 8839 0.0808
CD16+CD56+ CD3-CD19-CD20-CD14-CD16+CD56+ DC_MONO_NK_12828001_002.fcs CIMR 12828 3 3996 CD14-Lineage- 8839 0.4521
CD16-CD56+ CD3-CD19-CD20-CD14-CD16-CD56+ DC_MONO_NK_12828001_002.fcs CIMR 12828 3 1903 CD14-Lineage- 8839 0.2153
HLADR+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+ DC_MONO_NK_12828001_002.fcs CIMR 12828 3 489 CD16-CD56- 2226 0.2197
CD11c-CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123- DC_MONO_NK_12828001_002.fcs CIMR 12828 3 85 HLADR+ 489 0.1738
CD11c+CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123- DC_MONO_NK_12828001_002.fcs CIMR 12828 3 264 HLADR+ 489 0.5399
CD11c+CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123+ DC_MONO_NK_12828001_002.fcs CIMR 12828 3 6 HLADR+ 489 0.0123
CD11c-CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123+ DC_MONO_NK_12828001_002.fcs CIMR 12828 3 134 HLADR+ 489 0.274
'All cells'  DC_MONO_NK_12828001.fcs CIMR 12828 1 74475 none 74475 1
'Lympho and Mono'  DC_MONO_NK_12828001.fcs CIMR 12828 1 57759 'All cells' 74475 0.7755
'Live Cells'  DC_MONO_NK_12828001.fcs CIMR 12828 1 53791 'Lympho and Mono' 57759 0.9313
CD14-Lineage- CD3-CD19-CD20-CD14- DC_MONO_NK_12828001.fcs CIMR 12828 1 8568 'Live Cells' 53791 0.1593
