"","Phenotype","Population","Parent population","Filename","Center","Sample","Replicate","Cell count","Parent Cell count","Population #"
"14","CCR4-DR+","CCR4-DR+","CD25+CD127-","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","30","2263","14"
"15","CCR4+DR+","CCR4+DR+","CD25+CD127-","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","391","2263","15"
"16","","All cells","","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","185233","","1"
"17","","Lymphocytes","All cells","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","94913","185233","2"
"18","","Singlets","Lymphocytes","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","91642","94913","3"
"19","","Live","Singlets","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","87059","91642","4"
"20","CD3+","CD3+","Live","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","55570","87059","5"
"21","CD4+","CD4+","CD3+","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","21329","55570","6"
"22","CD25+CD127-","CD25+CD127-","CD4+","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","2135","21329","7"
"23","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","402","2135","8"
"24","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","28","2135","9"
"25","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","735","2135","10"
"26","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","970","2135","11"
"27","CCR4-DR-","CCR4-DR-","CD25+CD127-","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","878","2135","12"
"28","CCR4+DR-","CCR4+DR-","CD25+CD127-","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","838","2135","13"
"29","CCR4-DR+","CCR4-DR+","CD25+CD127-","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","45","2135","14"
"30","CCR4+DR+","CCR4+DR+","CD25+CD127-","TREG_12828_002_P1.fcs","CIMR","TREG_12828_002_P1","2","374","2135","15"
"31","","All cells","","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","187526","","1"
"32","","Lymphocytes","All cells","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","94811","187526","2"
"33","","Singlets","Lymphocytes","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","91563","94811","3"
"34","","Live","Singlets","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","86984","91563","4"
"35","CD3+","CD3+","Live","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","56112","86984","5"
"36","CD4+","CD4+","CD3+","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","21695","56112","6"
"37","CD25+CD127-","CD25+CD127-","CD4+","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","2413","21695","7"
"38","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","238","2413","8"
"39","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","440","2413","9"
"40","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","133","2413","10"
"41","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","1602","2413","11"
"42","CCR4-DR-","CCR4-DR-","CD25+CD127-","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","926","2413","12"
"43","CCR4+DR-","CCR4+DR-","CD25+CD127-","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","1033","2413","13"
"44","CCR4-DR+","CCR4-DR+","CD25+CD127-","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","26","2413","14"
"45","CCR4+DR+","CCR4+DR+","CD25+CD127-","TREG_12828_P1.fcs","CIMR","TREG_12828_P1","3","428","2413","15"
"46","","All cells","","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","151274","","1"
"47","","Lymphocytes","All cells","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","69049","151274","2"
"48","","Singlets","Lymphocytes","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","66659","69049","3"
"49","","Live","Singlets","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","63326","66659","4"
"50","CD3+","CD3+","Live","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","47611","63326","5"
"51","CD4+","CD4+","CD3+","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","23471","47611","6"
"52","CD25+CD127-","CD25+CD127-","CD4+","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","959","23471","7"
"53","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","130","959","8"
"54","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","74","959","9"
"55","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","121","959","10"
"56","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","634","959","11"
"57","CCR4-DR-","CCR4-DR-","CD25+CD127-","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","327","959","12"
"58","CCR4+DR-","CCR4+DR-","CD25+CD127-","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","368","959","13"
"59","CCR4-DR+","CCR4-DR+","CD25+CD127-","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","16","959","14"
"60","CCR4+DR+","CCR4+DR+","CD25+CD127-","TREG_1349_001_P1.fcs","CIMR","TREG_1349_001_P1","1","248","959","15"
"61","","All cells","","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","148120","","1"
"62","","Lymphocytes","All cells","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","68363","148120","2"
"63","","Singlets","Lymphocytes","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","66016","68363","3"
"64","","Live","Singlets","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","62715","66016","4"
"65","CD3+","CD3+","Live","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","47162","62715","5"
"66","CD4+","CD4+","CD3+","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","23414","47162","6"
"67","CD25+CD127-","CD25+CD127-","CD4+","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","1017","23414","7"
"68","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","182","1017","8"
"69","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","7","1017","9"
"70","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","386","1017","10"
"71","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","442","1017","11"
"72","CCR4-DR-","CCR4-DR-","CD25+CD127-","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","395","1017","12"
"73","CCR4+DR-","CCR4+DR-","CD25+CD127-","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","380","1017","13"
"74","CCR4-DR+","CCR4-DR+","CD25+CD127-","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","17","1017","14"
"75","CCR4+DR+","CCR4+DR+","CD25+CD127-","TREG_1349_002_P1.fcs","CIMR","TREG_1349_002_P1","2","225","1017","15"
"76","","All cells","","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","160876","","1"
"77","","Lymphocytes","All cells","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","73213","160876","2"
"78","","Singlets","Lymphocytes","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","70704","73213","3"
"79","","Live","Singlets","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","67168","70704","4"
"80","CD3+","CD3+","Live","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","50662","67168","5"
"81","CD4+","CD4+","CD3+","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","25060","50662","6"
"82","CD25+CD127-","CD25+CD127-","CD4+","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","1007","25060","7"
"83","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","55","1007","8"
"84","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","0","1007","9"
"85","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","580","1007","10"
"86","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","372","1007","11"
"87","CCR4-DR-","CCR4-DR-","CD25+CD127-","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","378","1007","12"
"88","CCR4+DR-","CCR4+DR-","CD25+CD127-","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","378","1007","13"
"89","CCR4-DR+","CCR4-DR+","CD25+CD127-","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","20","1007","14"
"90","CCR4+DR+","CCR4+DR+","CD25+CD127-","TREG_1349_P1.fcs","CIMR","TREG_1349_P1","3","231","1007","15"
"91","","All cells","","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","189987","","1"
"92","","Lymphocytes","All cells","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","95869","189987","2"
"93","","Singlets","Lymphocytes","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","92456","95869","3"
"94","","Live","Singlets","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","87833","92456","4"
"95","CD3+","CD3+","Live","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","59176","87833","5"
"96","CD4+","CD4+","CD3+","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","34464","59176","6"
"97","CD25+CD127-","CD25+CD127-","CD4+","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","1124","34464","7"
"98","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","382","1124","8"
"99","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","53","1124","9"
"100","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","255","1124","10"
"101","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","434","1124","11"
"102","CCR4-DR-","CCR4-DR-","CD25+CD127-","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","575","1124","12"
"103","CCR4+DR-","CCR4+DR-","CD25+CD127-","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","468","1124","13"
"104","CCR4-DR+","CCR4-DR+","CD25+CD127-","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","12","1124","14"
"105","CCR4+DR+","CCR4+DR+","CD25+CD127-","TREG_1369_001_P1.fcs","CIMR","TREG_1369_001_P1","1","69","1124","15"
"106","","All cells","","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","150649","","1"
"107","","Lymphocytes","All cells","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","79895","150649","2"
"108","","Singlets","Lymphocytes","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","77070","79895","3"
"109","","Live","Singlets","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","73216","77070","4"
"110","CD3+","CD3+","Live","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","49014","73216","5"
"111","CD4+","CD4+","CD3+","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","28392","49014","6"
"112","CD25+CD127-","CD25+CD127-","CD4+","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","1364","28392","7"
"113","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","627","1364","8"
"114","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","4","1364","9"
"115","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","544","1364","10"
"116","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","189","1364","11"
"117","CCR4-DR-","CCR4-DR-","CD25+CD127-","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","783","1364","12"
"118","CCR4+DR-","CCR4+DR-","CD25+CD127-","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","513","1364","13"
"119","CCR4-DR+","CCR4-DR+","CD25+CD127-","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","5","1364","14"
"120","CCR4+DR+","CCR4+DR+","CD25+CD127-","TREG_1369_002_P1.fcs","CIMR","TREG_1369_002_P1","2","63","1364","15"
"121","","All cells","","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","157531","","1"
"122","","Lymphocytes","All cells","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","80629","157531","2"
"123","","Singlets","Lymphocytes","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","77800","80629","3"
"124","","Live","Singlets","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","73910","77800","4"
"125","CD3+","CD3+","Live","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","49601","73910","5"
"126","CD4+","CD4+","CD3+","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","28990","49601","6"
"127","CD25+CD127-","CD25+CD127-","CD4+","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","1371","28990","7"
"128","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","382","1371","8"
"129","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","236","1371","9"
"130","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","138","1371","10"
"131","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","615","1371","11"
"132","CCR4-DR-","CCR4-DR-","CD25+CD127-","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","756","1371","12"
"133","CCR4+DR-","CCR4+DR-","CD25+CD127-","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","544","1371","13"
"134","CCR4-DR+","CCR4-DR+","CD25+CD127-","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","14","1371","14"
"135","CCR4+DR+","CCR4+DR+","CD25+CD127-","TREG_1369_P1.fcs","CIMR","TREG_1369_P1","3","57","1371","15"
"136","","All cells","","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","348895","","1"
"137","","Lymphocytes","All cells","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","183559","348895","2"
"138","","Singlets","Lymphocytes","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","178934","183559","3"
"139","","Live","Singlets","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","169987","178934","4"
"140","CD3+","CD3+","Live","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","104154","169987","5"
"141","CD4+","CD4+","CD3+","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","47422","104154","6"
"142","CD25+CD127-","CD25+CD127-","CD4+","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","5900","47422","7"
"143","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","1255","5900","8"
"144","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","124","5900","9"
"145","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","991","5900","10"
"146","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","3530","5900","11"
"147","CCR4-DR-","CCR4-DR-","CD25+CD127-","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","2240","5900","12"
"148","CCR4+DR-","CCR4+DR-","CD25+CD127-","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","2386","5900","13"
"149","CCR4-DR+","CCR4-DR+","CD25+CD127-","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","34","5900","14"
"150","CCR4+DR+","CCR4+DR+","CD25+CD127-","12828_1_T REG.fcs","Baylor","12828_1_T REG","1","1240","5900","15"
"151","","All cells","","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","337775","","1"
"152","","Lymphocytes","All cells","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","178704","337775","2"
"153","","Singlets","Lymphocytes","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","174360","178704","3"
"154","","Live","Singlets","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","165642","174360","4"
"155","CD3+","CD3+","Live","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","102480","165642","5"
"156","CD4+","CD4+","CD3+","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","46528","102480","6"
"157","CD25+CD127-","CD25+CD127-","CD4+","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","5294","46528","7"
"158","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","1127","5294","8"
"159","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","106","5294","9"
"160","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","835","5294","10"
"161","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","3226","5294","11"
"162","CCR4-DR-","CCR4-DR-","CD25+CD127-","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","1995","5294","12"
"163","CCR4+DR-","CCR4+DR-","CD25+CD127-","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","2115","5294","13"
"164","CCR4-DR+","CCR4-DR+","CD25+CD127-","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","44","5294","14"
"165","CCR4+DR+","CCR4+DR+","CD25+CD127-","12828_2_T REG.fcs","Baylor","12828_2_T REG","2","1140","5294","15"
"166","","All cells","","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","385050","","1"
"167","","Lymphocytes","All cells","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","194010","385050","2"
"168","","Singlets","Lymphocytes","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","188947","194010","3"
"169","","Live","Singlets","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","179499","188947","4"
"170","CD3+","CD3+","Live","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","108809","179499","5"
"171","CD4+","CD4+","CD3+","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","49086","108809","6"
"172","CD25+CD127-","CD25+CD127-","CD4+","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","6014","49086","7"
"173","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","1248","6014","8"
"174","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","123","6014","9"
"175","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","993","6014","10"
"176","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","3650","6014","11"
"177","CCR4-DR-","CCR4-DR-","CD25+CD127-","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","2303","6014","12"
"178","CCR4+DR-","CCR4+DR-","CD25+CD127-","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","2277","6014","13"
"179","CCR4-DR+","CCR4-DR+","CD25+CD127-","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","52","6014","14"
"180","CCR4+DR+","CCR4+DR+","CD25+CD127-","12828_3_T REG.fcs","Baylor","12828_3_T REG","3","1382","6014","15"
"181","","All cells","","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","441196","","1"
"182","","Lymphocytes","All cells","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","203488","441196","2"
"183","","Singlets","Lymphocytes","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","198561","203488","3"
"184","","Live","Singlets","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","188632","198561","4"
"185","CD3+","CD3+","Live","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","117587","188632","5"
"186","CD4+","CD4+","CD3+","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","60100","117587","6"
"187","CD25+CD127-","CD25+CD127-","CD4+","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","7194","60100","7"
"188","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","1216","7194","8"
"189","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","24","7194","9"
"190","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","2465","7194","10"
"191","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","3489","7194","11"
"192","CCR4-DR-","CCR4-DR-","CD25+CD127-","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","3295","7194","12"
"193","CCR4+DR-","CCR4+DR-","CD25+CD127-","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","2318","7194","13"
"194","CCR4-DR+","CCR4-DR+","CD25+CD127-","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","167","7194","14"
"195","CCR4+DR+","CCR4+DR+","CD25+CD127-","1349_1_T REG.fcs","Baylor","1349_1_T REG","1","1414","7194","15"
"196","","All cells","","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","458425","","1"
"197","","Lymphocytes","All cells","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","202302","458425","2"
"198","","Singlets","Lymphocytes","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","197215","202302","3"
"199","","Live","Singlets","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","187354","197215","4"
"200","CD3+","CD3+","Live","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","112971","187354","5"
"201","CD4+","CD4+","CD3+","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","58007","112971","6"
"202","CD25+CD127-","CD25+CD127-","CD4+","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","2805","58007","7"
"203","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","277","2805","8"
"204","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","15","2805","9"
"205","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","611","2805","10"
"206","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","1902","2805","11"
"207","CCR4-DR-","CCR4-DR-","CD25+CD127-","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","843","2805","12"
"208","CCR4+DR-","CCR4+DR-","CD25+CD127-","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","899","2805","13"
"209","CCR4-DR+","CCR4-DR+","CD25+CD127-","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","68","2805","14"
"210","CCR4+DR+","CCR4+DR+","CD25+CD127-","1349_2_T REG.fcs","Baylor","1349_2_T REG","2","995","2805","15"
"211","","All cells","","1349_3_T REG.fcs","Baylor","1349_3_T REG","3","443845","","1"
"212","","Lymphocytes","All cells","1349_3_T REG.fcs","Baylor","1349_3_T REG","3","201210","443845","2"
