"Population","Filename","Center","Sample","Replicate","Proportion","Count","Parent","Count_Parent"
"IgD+CD27+","12828_3_Bcell_C03.fcs","NHLBI","12828","3",0.0852702124625695,1794,"CD19&CD20",21039
"CD3","12828_3_Bcell_C03.fcs","NHLBI","12828","3",0.627244129516062,59220,"Live",94413
"CD20","12828_3_Bcell_C03.fcs","NHLBI","12828","3",0.223899251162446,21139,"Live",94413
"CD19","12828_3_Bcell_C03.fcs","NHLBI","12828","3",0.223835700592079,21133,"Live",94413
"Lymphocytes","12828_3_Bcell_C03.fcs","NHLBI","12828","3",1,96285,"nonDebris",96285
"Plasmablasts","12828_3_C3_C03.fcs","Yale","12828","3",0.42,21,"CD19&!CD20",50
"IgD+CD27+","12828_3_C3_C03.fcs","Yale","12828","3",0.00885739592559787,70,"CD19&CD20",7903
"IgD-CD27-","12828_3_C3_C03.fcs","Yale","12828","3",0.480703530304948,3799,"CD19&CD20",7903
"Transitional","12828_3_C3_C03.fcs","Yale","12828","3",0.0396052132101734,313,"CD19&CD20",7903
"IgD-CD27+","12828_3_C3_C03.fcs","Yale","12828","3",0.0828799190180944,655,"CD19&CD20",7903
"IgD+CD27-","12828_3_C3_C03.fcs","Yale","12828","3",0.42755915475136,3379,"CD19&CD20",7903
"CD3","12828_3_C3_C03.fcs","Yale","12828","3",0.633617636224533,22361,"Live",35291
"CD20","12828_3_C3_C03.fcs","Yale","12828","3",0.229520274290896,8100,"Live",35291
"CD19","12828_3_C3_C03.fcs","Yale","12828","3",0.225354906350061,7953,"Live",35291
"Lymphocytes","12828_3_C3_C03.fcs","Yale","12828","3",1,35844,"nonDebris",35844
"Plasmablasts","1349_1_B CELL.fcs","Baylor","1349","1",0.326923076923077,17,"CD19&!CD20",52
"IgD-CD27-","1349_1_B CELL.fcs","Baylor","1349","1",0.191376290838819,3169,"CD19&CD20",16559
"Transitional","1349_1_B CELL.fcs","Baylor","1349","1",0.0500030195060088,828,"CD19&CD20",16559
"IgD-CD27+","1349_1_B CELL.fcs","Baylor","1349","1",0.187571713267709,3106,"CD19&CD20",16559
"IgD+CD27+","1349_1_B CELL.fcs","Baylor","1349","1",0.0286853070837611,475,"CD19&CD20",16559
"IgD+CD27-","1349_1_B CELL.fcs","Baylor","1349","1",0.592366688809711,9809,"CD19&CD20",16559
"CD19","1349_1_B CELL.fcs","Baylor","1349","1",0.206910726074663,16611,"Live",80281
"CD3","1349_1_B CELL.fcs","Baylor","1349","1",0.699829349410197,56183,"Live",80281
"CD20","1349_1_B CELL.fcs","Baylor","1349","1",0.20728441349759,16641,"Live",80281
"Lymphocytes","1349_1_B CELL.fcs","Baylor","1349","1",1,85813,"nonDebris",85813
"Plasmablasts","1349_1_Bcell_C04.fcs","NHLBI","1349","1",0.384615384615385,15,"CD19&!CD20",39
"Transitional","1349_1_Bcell_C04.fcs","NHLBI","1349","1",0.0729538997342132,796,"CD19&CD20",10911
"IgD+CD27+","1349_1_Bcell_C04.fcs","NHLBI","1349","1",0.0900925671340849,983,"CD19&CD20",10911
"IgD-CD27-","1349_1_Bcell_C04.fcs","NHLBI","1349","1",0.0425258913023554,464,"CD19&CD20",10911
"IgD+CD27-","1349_1_Bcell_C04.fcs","NHLBI","1349","1",0.680505911465494,7425,"CD19&CD20",10911
"IgD-CD27+","1349_1_Bcell_C04.fcs","NHLBI","1349","1",0.186875630098066,2039,"CD19&CD20",10911
"CD3","1349_1_Bcell_C04.fcs","NHLBI","1349","1",0.695969265650586,55253,"Live",79390
"CD19","1349_1_Bcell_C04.fcs","NHLBI","1349","1",0.13792669101902,10950,"Live",79390
"CD20","1349_1_Bcell_C04.fcs","NHLBI","1349","1",0.139450812444892,11071,"Live",79390
"Lymphocytes","1349_1_Bcell_C04.fcs","NHLBI","1349","1",1,82804,"nonDebris",82804
"Plasmablasts","1349_1_C4_C04.fcs","Yale","1349","1",0.518518518518518,14,"CD19&!CD20",27
"IgD+CD27+","1349_1_C4_C04.fcs","Yale","1349","1",0.00882785679254536,36,"CD19&CD20",4078
"IgD+CD27-","1349_1_C4_C04.fcs","Yale","1349","1",0.272437469347719,1111,"CD19&CD20",4078
"Transitional","1349_1_C4_C04.fcs","Yale","1349","1",0.0333496812162825,136,"CD19&CD20",4078
"IgD-CD27-","1349_1_C4_C04.fcs","Yale","1349","1",0.528690534575772,2156,"CD19&CD20",4078
"IgD-CD27+","1349_1_C4_C04.fcs","Yale","1349","1",0.190044139283963,775,"CD19&CD20",4078
"CD19","1349_1_C4_C04.fcs","Yale","1349","1",0.16471390739106,4105,"Live",24922
"CD20","1349_1_C4_C04.fcs","Yale","1349","1",0.171535189792152,4275,"Live",24922
"CD3","1349_1_C4_C04.fcs","Yale","1349","1",0.724059064280555,18045,"Live",24922
"Lymphocytes","1349_1_C4_C04.fcs","Yale","1349","1",1,25241,"nonDebris",25241
"Plasmablasts","1349_2_B CELL.fcs","Baylor","1349","2",0.392156862745098,20,"CD19&!CD20",51
"IgD+CD27-","1349_2_B CELL.fcs","Baylor","1349","2",0.610534671429381,10768,"CD19&CD20",17637
"Transitional","1349_2_B CELL.fcs","Baylor","1349","2",0.0505754946986449,892,"CD19&CD20",17637
"IgD+CD27+","1349_2_B CELL.fcs","Baylor","1349","2",0.0304473549923456,537,"CD19&CD20",17637
"IgD-CD27+","1349_2_B CELL.fcs","Baylor","1349","2",0.173668991325055,3063,"CD19&CD20",17637
"IgD-CD27-","1349_2_B CELL.fcs","Baylor","1349","2",0.185348982253218,3269,"CD19&CD20",17637
"CD19","1349_2_B CELL.fcs","Baylor","1349","2",0.214275330716674,17688,"Live",82548
"CD3","1349_2_B CELL.fcs","Baylor","1349","2",0.696552308959636,57499,"Live",82548
"CD20","1349_2_B CELL.fcs","Baylor","1349","2",0.214772011435771,17729,"Live",82548
"Lymphocytes","1349_2_B CELL.fcs","Baylor","1349","2",1,87720,"nonDebris",87720
"Plasmablasts","1349_2_Bcell_C05.fcs","NHLBI","1349","2",0.315789473684211,12,"CD19&!CD20",38
"IgD+CD27+","1349_2_Bcell_C05.fcs","NHLBI","1349","2",0.0908111988513999,1012,"CD19&CD20",11144
"IgD-CD27-","1349_2_Bcell_C05.fcs","NHLBI","1349","2",0.0406496769562096,453,"CD19&CD20",11144
"IgD-CD27+","1349_2_Bcell_C05.fcs","NHLBI","1349","2",0.172559224694903,1923,"CD19&CD20",11144
"Transitional","1349_2_Bcell_C05.fcs","NHLBI","1349","2",0.0697236180904523,777,"CD19&CD20",11144
"IgD+CD27-","1349_2_Bcell_C05.fcs","NHLBI","1349","2",0.695979899497487,7756,"CD19&CD20",11144
"CD19","1349_2_Bcell_C05.fcs","NHLBI","1349","2",0.13703431372549,11182,"Live",81600
"CD3","1349_2_Bcell_C05.fcs","NHLBI","1349","2",0.694963235294118,56709,"Live",81600
"CD20","1349_2_Bcell_C05.fcs","NHLBI","1349","2",0.138713235294118,11319,"Live",81600
"Lymphocytes","1349_2_Bcell_C05.fcs","NHLBI","1349","2",1,85017,"nonDebris",85017
"Plasmablasts","1349_2_C5_C05.fcs","Yale","1349","2",0.384615384615385,10,"CD19&!CD20",26
"IgD-CD27-","1349_2_C5_C05.fcs","Yale","1349","2",0.530642309958751,1801,"CD19&CD20",3394
"Transitional","1349_2_C5_C05.fcs","Yale","1349","2",0.0315262227460224,107,"CD19&CD20",3394
"IgD+CD27-","1349_2_C5_C05.fcs","Yale","1349","2",0.271361225692398,921,"CD19&CD20",3394
"IgD-CD27+","1349_2_C5_C05.fcs","Yale","1349","2",0.189746611667649,644,"CD19&CD20",3394
"IgD+CD27+","1349_2_C5_C05.fcs","Yale","1349","2",0.00824985268120212,28,"CD19&CD20",3394
"CD19","1349_2_C5_C05.fcs","Yale","1349","2",0.173217179902755,3420,"Live",19744
"CD3","1349_2_C5_C05.fcs","Yale","1349","2",0.714495542949757,14107,"Live",19744
"CD20","1349_2_C5_C05.fcs","Yale","1349","2",0.182536466774716,3604,"Live",19744
"Lymphocytes","1349_2_C5_C05.fcs","Yale","1349","2",1,20076,"nonDebris",20076
"Plasmablasts","1349_3_B CELL.fcs","Baylor","1349","3",0.491803278688525,30,"CD19&!CD20",61
"IgD+CD27-","1349_3_B CELL.fcs","Baylor","1349","3",0.596731988137466,10262,"CD19&CD20",17197
"IgD+CD27+","1349_3_B CELL.fcs","Baylor","1349","3",0.0286096412164913,492,"CD19&CD20",17197
"Transitional","1349_3_B CELL.fcs","Baylor","1349","3",0.0454148979473164,781,"CD19&CD20",17197
"IgD-CD27-","1349_3_B CELL.fcs","Baylor","1349","3",0.186660464034425,3210,"CD19&CD20",17197
"IgD-CD27+","1349_3_B CELL.fcs","Baylor","1349","3",0.187997906611618,3233,"CD19&CD20",17197
"CD19","1349_3_B CELL.fcs","Baylor","1349","3",0.212429684518901,17258,"Live",81241
"CD3","1349_3_B CELL.fcs","Baylor","1349","3",0.697603426841127,56674,"Live",81241
"CD20","1349_3_B CELL.fcs","Baylor","1349","3",0.212971282972883,17302,"Live",81241
"Lymphocytes","1349_3_B CELL.fcs","Baylor","1349","3",1,85763,"nonDebris",85763
"Plasmablasts","1349_3_Bcell_C06.fcs","NHLBI","1349","3",0.46,23,"CD19&!CD20",50
"IgD+CD27+","1349_3_Bcell_C06.fcs","NHLBI","1349","3",0.0974857463314328,1043,"CD19&CD20",10699
"IgD-CD27+","1349_3_Bcell_C06.fcs","NHLBI","1349","3",0.173754556500608,1859,"CD19&CD20",10699
"Transitional","1349_3_Bcell_C06.fcs","NHLBI","1349","3",0.0744929432657258,797,"CD19&CD20",10699
"IgD+CD27-","1349_3_Bcell_C06.fcs","NHLBI","1349","3",0.688942891859052,7371,"CD19&CD20",10699
"IgD-CD27-","1349_3_Bcell_C06.fcs","NHLBI","1349","3",0.0398168053089074,426,"CD19&CD20",10699
"CD19","1349_3_Bcell_C06.fcs","NHLBI","1349","3",0.139851678376269,10749,"Live",76860
"CD20","1349_3_Bcell_C06.fcs","NHLBI","1349","3",0.141816289357273,10900,"Live",76860
"CD3","1349_3_Bcell_C06.fcs","NHLBI","1349","3",0.684205048139474,52588,"Live",76860
"Lymphocytes","1349_3_Bcell_C06.fcs","NHLBI","1349","3",1,80301,"nonDebris",80301
"Plasmablasts","1349_3_C6_C06.fcs","Yale","1349","3",0.4375,14,"CD19&!CD20",32
"IgD+CD27-","1349_3_C6_C06.fcs","Yale","1349","3",0.220439397679585,893,"CD19&CD20",4051
"Transitional","1349_3_C6_C06.fcs","Yale","1349","3",0.0281411997037768,114,"CD19&CD20",4051
"IgD-CD27-","1349_3_C6_C06.fcs","Yale","1349","3",0.57442606763762,2327,"CD19&CD20",4051
"IgD+CD27+","1349_3_C6_C06.fcs","Yale","1349","3",0.00691187361145396,28,"CD19&CD20",4051
"IgD-CD27+","1349_3_C6_C06.fcs","Yale","1349","3",0.19822266107134,803,"CD19&CD20",4051
"CD3","1349_3_C6_C06.fcs","Yale","1349","3",0.72262896574939,17174,"Live",23766
"CD20","1349_3_C6_C06.fcs","Yale","1349","3",0.177312126567365,4214,"Live",23766
"CD19","1349_3_C6_C06.fcs","Yale","1349","3",0.1718000504923,4083,"Live",23766
"Lymphocytes","1349_3_C6_C06.fcs","Yale","1349","3",1,24069,"nonDebris",24069
"Plasmablasts","1349-1_C4_C04.fcs","Stanford","1349","1",0.391304347826087,9,"CD19&!CD20",23
"IgD+CD27-","1349-1_C4_C04.fcs","Stanford","1349","1",0.598168060533652,1502,"CD19&CD20",2511
"Transitional","1349-1_C4_C04.fcs","Stanford","1349","1",0.040621266427718,102,"CD19&CD20",2511
"IgD+CD27+","1349-1_C4_C04.fcs","Stanford","1349","1",0.0199123855037834,50,"CD19&CD20",2511
"IgD-CD27+","1349-1_C4_C04.fcs","Stanford","1349","1",0.170450019912386,428,"CD19&CD20",2511
"IgD-CD27-","1349-1_C4_C04.fcs","Stanford","1349","1",0.211469534050179,531,"CD19&CD20",2511
"CD20","1349-1_C4_C04.fcs","Stanford","1349","1",0.15002038320424,2576,"Live",17171
"CD3","1349-1_C4_C04.fcs","Stanford","1349","1",0.73752256711898,12664,"Live",17171
"CD19","1349-1_C4_C04.fcs","Stanford","1349","1",0.147574398695475,2534,"Live",17171
"Lymphocytes","1349-1_C4_C04.fcs","Stanford","1349","1",1,18453,"nonDebris",18453
"Plasmablasts","1349-2_C5_C05.fcs","Stanford","1349","2",0.454545454545455,10,"CD19&!CD20",22
"Transitional","1349-2_C5_C05.fcs","Stanford","1349","2",0.0418552036199095,111,"CD19&CD20",2652
"IgD-CD27-","1349-2_C5_C05.fcs","Stanford","1349","2",0.197209653092006,523,"CD19&CD20",2652
"IgD-CD27+","1349-2_C5_C05.fcs","Stanford","1349","2",0.174962292609351,464,"CD19&CD20",2652
"IgD+CD27+","1349-2_C5_C05.fcs","Stanford","1349","2",0.0237556561085973,63,"CD19&CD20",2652
"IgD+CD27-","1349-2_C5_C05.fcs","Stanford","1349","2",0.604072398190045,1602,"CD19&CD20",2652
"CD3","1349-2_C5_C05.fcs","Stanford","1349","2",0.735136978515403,12934,"Live",17594
"CD20","1349-2_C5_C05.fcs","Stanford","1349","2",0.153802432647493,2706,"Live",17594
"CD19","1349-2_C5_C05.fcs","Stanford","1349","2",0.151983630783222,2674,"Live",17594
"Lymphocytes","1349-2_C5_C05.fcs","Stanford","1349","2",1,18687,"nonDebris",18687
"Plasmablasts","1349-3_C6_C06.fcs","Stanford","1349","3",0.625,10,"CD19&!CD20",16
"IgD-CD27+","1349-3_C6_C06.fcs","Stanford","1349","3",0.152031930333817,419,"CD19&CD20",2756
"Transitional","1349-3_C6_C06.fcs","Stanford","1349","3",0.0518867924528302,143,"CD19&CD20",2756
"IgD+CD27-","1349-3_C6_C06.fcs","Stanford","1349","3",0.631349782293179,1740,"CD19&CD20",2756
"IgD-CD27-","1349-3_C6_C06.fcs","Stanford","1349","3",0.191582002902758,528,"CD19&CD20",2756
"IgD+CD27+","1349-3_C6_C06.fcs","Stanford","1349","3",0.0250362844702467,69,"CD19&CD20",2756
"CD3","1349-3_C6_C06.fcs","Stanford","1349","3",0.744653481267085,13893,"Live",18657
"CD20","1349-3_C6_C06.fcs","Stanford","1349","3",0.151256900895106,2822,"Live",18657
"CD19","1349-3_C6_C06.fcs","Stanford","1349","3",0.148576941630487,2772,"Live",18657
"Lymphocytes","1349-3_C6_C06.fcs","Stanford","1349","3",1,19849,"nonDebris",19849
"Plasmablasts","1369_1_B CELL.fcs","Baylor","1369","1",0.725,29,"CD19&!CD20",40
"IgD-CD27-","1369_1_B CELL.fcs","Baylor","1369","1",0.182270385503642,2052,"CD19&CD20",11258
"IgD+CD27-","1369_1_B CELL.fcs","Baylor","1369","1",0.595665304672233,6706,"CD19&CD20",11258
"IgD-CD27+","1369_1_B CELL.fcs","Baylor","1369","1",0.170545389944928,1920,"CD19&CD20",11258
"Transitional","1369_1_B CELL.fcs","Baylor","1369","1",0.0257594599395985,290,"CD19&CD20",11258
"IgD+CD27+","1369_1_B CELL.fcs","Baylor","1369","1",0.051518919879197,580,"CD19&CD20",11258
"CD3","1369_1_B CELL.fcs","Baylor","1369","1",0.730885389117341,42835,"Live",58607
"CD20","1369_1_B CELL.fcs","Baylor","1369","1",0.193099800365144,11317,"Live",58607
"CD19","1369_1_B CELL.fcs","Baylor","1369","1",0.192775607009402,11298,"Live",58607
"Lymphocytes","1369_1_B CELL.fcs","Baylor","1369","1",1,61925,"nonDebris",61925
"Plasmablasts","1369_1_Bcell_C07.fcs","NHLBI","1369","1",0.533333333333333,16,"CD19&!CD20",30
"IgD+CD27-","1369_1_Bcell_C07.fcs","NHLBI","1369","1",0.62814305794159,8044,"CD19&CD20",12806
"IgD-CD27-","1369_1_Bcell_C07.fcs","NHLBI","1369","1",0.0612993909105107,785,"CD19&CD20",12806
"Transitional","1369_1_Bcell_C07.fcs","NHLBI","1369","1",0.0370138997344995,474,"CD19&CD20",12806
"IgD+CD27+","1369_1_Bcell_C07.fcs","NHLBI","1369","1",0.155395908168046,1990,"CD19&CD20",12806
"IgD-CD27+","1369_1_Bcell_C07.fcs","NHLBI","1369","1",0.155161642979853,1987,"CD19&CD20",12806
"CD20","1369_1_Bcell_C07.fcs","NHLBI","1369","1",0.139565737954244,12939,"Live",92709
"CD19","1369_1_Bcell_C07.fcs","NHLBI","1369","1",0.138454734707526,12836,"Live",92709
"CD3","1369_1_Bcell_C07.fcs","NHLBI","1369","1",0.735775383188256,68213,"Live",92709
